Player,WeightedTotal,BA,HR,RBI,OBP,SLG,OPS,SB,TB,R
Shohei Ohtani*,48.5519,0.31,54.0,130.0,0.39,0.646,1.036,59.0,411.0,134.0
Aaron Judge,45.02215,0.322,58.0,144.0,0.458,0.701,1.159,10.0,392.0,122.0
José Ramírez#,39.672650000000004,0.279,39.0,118.0,0.335,0.537,0.872,41.0,333.0,114.0
Bobby Witt Jr.,34.646350000000005,0.332,32.0,109.0,0.389,0.588,0.977,31.0,374.0,125.0
Brent Rooker,33.983,0.293,39.0,112.0,0.365,0.562,0.927,11.0,307.0,82.0
Willy Adames,33.7066,0.251,32.0,112.0,0.331,0.462,0.794,21.0,282.0,93.0
Juan Soto*,33.291399999999996,0.288,41.0,109.0,0.419,0.569,0.989,7.0,328.0,128.0
Anthony Santander#,31.857350000000004,0.235,44.0,102.0,0.308,0.506,0.814,2.0,301.0,91.0
Elly De La Cruz#,31.66035,0.259,25.0,76.0,0.339,0.471,0.809,67.0,291.0,105.0
Kyle Schwarber*,31.214850000000002,0.248,38.0,104.0,0.366,0.485,0.851,5.0,278.0,110.0
Gunnar Henderson*,30.976100000000002,0.281,37.0,92.0,0.364,0.529,0.893,21.0,333.0,118.0
Francisco Lindor#,30.967549999999996,0.273,33.0,91.0,0.344,0.5,0.844,29.0,309.0,107.0
Marcell Ozuna,30.8839,0.302,39.0,104.0,0.378,0.546,0.925,1.0,331.0,96.0
Josh Naylor*,30.40285,0.243,31.0,108.0,0.32,0.456,0.776,6.0,257.0,84.0
Manny Machado,30.060799999999993,0.275,29.0,105.0,0.325,0.472,0.797,11.0,280.0,77.0
Teoscar Hernández,30.016800000000003,0.272,33.0,99.0,0.339,0.501,0.84,12.0,295.0,84.0
Cal Raleigh#,29.5452,0.22,34.0,100.0,0.312,0.436,0.748,6.0,238.0,73.0
Ketel Marte#,29.2336,0.292,36.0,95.0,0.372,0.56,0.932,7.0,282.0,93.0
Vladimir Guerrero Jr.,28.589450000000003,0.323,30.0,103.0,0.396,0.544,0.94,2.0,335.0,98.0
Eugenio Suárez,28.156600000000005,0.256,30.0,101.0,0.319,0.469,0.788,2.0,268.0,90.0
Salvador Perez,27.70855,0.271,27.0,104.0,0.33,0.456,0.786,0.0,269.0,58.0
Spencer Steer,27.291900000000005,0.225,20.0,92.0,0.319,0.402,0.721,25.0,231.0,74.0
Yordan Alvarez*,27.04005,0.308,35.0,86.0,0.392,0.567,0.959,6.0,313.0,88.0
Matt Olson*,27.00555,0.247,29.0,98.0,0.333,0.457,0.79,0.0,274.0,78.0
Jazz Chisholm Jr.*,26.7524,0.256,24.0,73.0,0.324,0.436,0.76,40.0,245.0,74.0
